"Year","2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Chemical and petrochemical","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,0.2066207,,1.0373332,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,1.9669504,,0.7008461,,0.7008461,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.0054624,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,16.6229539,,437.9402802,,97.6943702,,-,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,23.2785892,,1.701829,,25.2843162,,472.0144215,,-,,85.5169059,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,42.6499445,,112.8488962,,1.4755594,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,-,,68.8800339,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Non-ferrous metals","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.0057595,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,0.2444517,,0.2958333,,15.0283305,,0.001557,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,0.647669,,0.1086842,,4.8486455,,15.0139438,,-,,1.5615034,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,6.642,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,-,,0.008792,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Non-metallic minerals","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,0.1109223,,0.028314,,1.416476,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,1.6147999,,-,,2.598088,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.9102101,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,0.0043158,,-,,0.0595579,,0.0003016,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,0.598364,,1.2337948,,11.405983,,-,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,0.5551307,,-,,3.4422565,,16.7096582,,-,,1.5873618,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,0.0018855,,-,,0.0666767,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Transport equipment","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.5964918,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,7.9821,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,15.0129088,,1.7566334,,12.4594838,,1.5351315,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,29.3155697,,1.0203212,,17.2708025,,149.265524,,-,,51.9368371,,0.0497718,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,86.4886691,,4.1903611,,5.4301698,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,0.0454821,,-,,0.0113705,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Machinery","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,4.7394048,,0.0019154,,1.6434363,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,15.9163727,,-,,2.1253103,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,3.7682101,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,38.6982103,,1.8779189,,52.7218737,,0.1308003,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,37.4625716,,0.9163,,58.7489246,,200.9163884,,-,,53.955971,,0.4229077,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,72.1324808,,0.4274406,,2.4296625,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,0.2307406,,0.0193782,,0.0545697,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,0.7175433,,-,,-,,0.0488581,,-,,-,,-,,
"Mining and quarrying","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Food and tobacco","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,0.008167,,0.0155478,,0.0013219,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,0.418787,,0.537636,,0.0315152,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.0401341,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,0.017475,,0.4698821,,4.1410785,,0.2257181,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,189.6861445,,964.8910904,,151.8011707,,-,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,33.5368107,,29.9015228,,32.103176,,342.9458901,,-,,73.5249773,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,0.3393562,,4.8144096,,3.0830342,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,0.4364031,,0.5229354,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Paper, pulp and print","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,0.4563754,,2.6971692,,0.0312106,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,5.7981547,,2.2112849,,0.6149166,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.0347874,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,2.1048955,,52.5299773,,48.0429562,,-0,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,13.9512985,,14.389659,,0.1715324,,142.3527987,,-,,19.7262213,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,2.2700639,,-,,22.7031361,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,0.0005776,,0.057186,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Wood and wood products","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,0.0022209,,-,,0.0002667,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,0.0146062,,-,,0.0017538,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.4178262,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.1505048,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,1.9348345,,15.1598271,,7.0605759,,-,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,0.736655,,0.4159345,,0.1770645,,14.131749,,-,,1.2427921,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,3.9516926,,-,,44.9553936,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,0.001602,,-,,-,,-,,-,,-,,-,,
"Construction","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,14.420796,,-,,5.9418078,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,41.8483838,,-,,17.2428105,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,1111.086265,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,2.4862486,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,1.377282,,-,,9.4054295,,0.1221343,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,291.0316939,,42.0366966,,212.0420625,,1.5305949,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,76.6193576,,-,,4.8914945,,208.3101963,,-,,131.8173428,,0.0421681,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,39.9615005,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,72.8995152,,-,,4.3982424,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,0.056725,,-,,-,,0.0037236,,-,,-,,-,,
"Textile and leather","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.0097253,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,9.6109602,,22.045694,,-,,-,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,3.173925,,1.2949778,,-,,13.6280019,,-,,2.3932501,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,0.0177417,,-,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Non-specified","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,0.5856711,,0.1512288,,0.1146137,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,2.3059096,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.1177605,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,0.0098764,,-,,0.1410607,,0.0007737,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,8.0028457,,5.3911987,,4.8436836,,0.0127754,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,8.4488182,,11.9629284,,10.2307961,,76.1889004,,-,,17.7823947,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,12.2066315,,0.9872815,,14.979687,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,0.017796,,-,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Rail","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.1935515,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,126.3541318,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,631.7262106,,-,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,8.5258812,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Road","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,26741.24868,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,9291.885429,,-,,-,,
